<one employee	Where was killed	Sudanese region of Darfur>
<Melody Barnes,	did says she needs " to move out of , "	a 24/7 work schedule>
<artists	How much pay for a trashed house	$100,>
None
None
<$85 million worth of household goods	did	did fema>
<an epidemic of bird flu,	killed	were they>
<sexual abuse, attempted sodomy and assault,	acquitted	was he of>
<the smuggler	What was trying to finance	election campaign,>
<roadside bomb	killed	the five people>
<Australian officials	has filed suit with	international court>
<Internet,	used	does ZipRealty>
<All five	are from where	Los Angeles area>
<65,000 people	killed	many have been in the civil war>
<lodged in the boy's head,	is	the bullet>
<a Dutch soldier	killed	was in southern Afghanistan>
<CNN	toured	the facility>
<Somalian pirates	kidnapped	British couple>
<Tom Hanks, Ayelet Zurer	stars in " "	The Da Vinci Code>
<Ewan McGregor	stars in " "	The Da Vinci Code>
<65	covered	percentage of his body was>
<the client assets	what are worth	$1.8 trillion>
<Nemanja Vidic	is from	Serbian>
<The plan	calls for $ 1.5 trillion in what	new revenue>
<ticket scalping	violate	the spirit of the event>
<49 people	died	many abroad>
<3-2 at	Did	Did the Dortmund>
<Marseille came back from 2-0 down to	Did	Did the Dortmund>
<prosecutors	told that the prosecution wanted to impeach the star witness	the court>
<they	kind of endangered species eating	alligators>
<they	kind of endangered species eating	wood rats, birds, bobcats>
<Sebastian Vettel	retired after	the first lap>
<Britain's Met Office	warning	weather warning>
<the comediad	many sitcoms have	two>
<at least five	serving	many in serving the teen>
<Sin Hwa Dee	moved to	their own building>
<Jakaya Kikwete,	replace	did Gadhafi>
<Which state	was from	Rhode Island>
<Dick Lancaster	is working with	the sighted crew>
<they	leave the Seychelles	October 21>
<Michael Essien	signed a five - year contract with	Chelsea>
<The	Is	the cause of the crash under investigation>
<of the	Is	the cause of the crash under investigation>
<is	Is	the cause of the crash under investigation>
<Vince Acors,	arrested	was>
<the player	do	had apparently gotten into his car>
<Munich	rivals	Hamburg>
<Bayern	rivals	Hamburg>
<The BBC	refuses to broadcast	ad>
<the fire	When did start	October 21>
<"Zombieland"	features	zombies>
<percentage of teens who 've been in a " serious relationship "	report their partner hitting them	One in five>
<many miles	has the smoke drifted	100>
<All those aboard were unhurt	hurt	anyone hurt>
<Libya,	visit	did Rice>
<he	was on	"The Sopranos,">
<John McWethy	died in	Colorado ski accident>
<how many other contestants	competed	more than 80>
<Sardar Zulfiqar Muhammad Khosa,	intended	was intended>
<The recording	captured	was by a bystander>
<company boss	murder	did they>
<The studios ' owner , music label EMI ,	says what	"EMI confirms that it is holding preliminary discussions for the revitalization of Abbey Road with interested and appropriate third parties,">
<experts	gather	the progress in addressing American children's mental health needs,>
<each location	receive	42 metric tons of rice>
<percent of voters	were in 2008	11>
<Minneapolis, Minnesota,	carrying	carrying high school students tips>
<Interstate 94 northwest of	carrying	carrying high school students tips>
<Which charity	working with the authorities	The International Federation of Red Cross and Red Crescent Societies>
<Angola	is major supplier of	petroleum>
<Jeffs	was at her school	headmaster>
<Ten	died	many people>
<Obama	Where will visit soon	Turkey,>
<Berlin	having	Cameron having talks with Merkel>
<Jose Manuel Zelaya	removed	was as president in the coup>
<many years	was in his position for	12>
<Sean Parker	threw	a $ 1 million party>
<many vehicles	driving the olympic champ in Baltimore crash	two>
<British couple	kidnapped	was by pirates>
<ruled out resignation,	stand	Has Ma Ying - jeou to stand down as leader>
<William Wood,	said attack has n't threatened	nation 's relationship>
<Penn Jillette	say	"I don't like that,">
<Health Ministry of Kyrgyzstan	has set up	a crisis center>
<Tao	was	the dinner>
<Brazilian coach Zico	is leaving	Turkish club>
<many colleagues	received letters from Florida	49>
<Kaka	denies transfer to	Manchester city>
<Cher	set off	the false alarm>
<the bus	Where was going	Phoenix, Arizona,>
<climate change is real, and we need to take action now,"	the message of	this event>
<many   volunteers	building an aircraft and space shuttle	600>
<suspicious toilet attendant,	tipped	Police were off by whom>
<Adm. Michael Mullen	is meeting with	Pakistan 's new prime minister>
<auctioneers	hoped for	the 150-million-year-old, 9-foot-long dryosaurus would sell>
<auctioneers	hoped for	as much as $500,000,>
<the anthrax letters	How many people did kill	five>
<Elena Dementieva	crashed out of	Indian Wells Masters>
<Florida	had	state tornados>
<Tigris	record	Which river has to record low levels>
<the first quake	When did hit	11:39 a.m.>
<Joseph Jackson	was a tough taskmaster at	times>
<Anthony "Tony" Marshall,	swindling	is of swindling millions>
<the pirate brought to	Where was	New York City>
<Yar'Adua	take office	2007>
<radio broadcasts	encouraged	encouraged violent street against the government>
<pushing,	was	was khan points for>
<43	put	many have been to death in 2011>
<Clarked	lived since when	1950s,>
<152	killed	many people were in the plane crash>
<Brittanee Drexel	shown	whose photo was>
<Which gene	did the ALS association discover	ALS6,>
<Fiorina	say	shareholders>
<Pope Benedict XVI	call for	exploitation of children>
<Pope Benedict XVI	call for	peace in the Middle East and an end to the>
<U.S. Senate seat	was	for sale>
<Canada	complain of	deliberately losing a match>
<120	watch	how many countries does the children watch sesame street>
<she	face many years in prison	put her in jail for up to eight>
<a	poked	the ghost hunter>
<very large finger or a paw	poked	the ghost hunter>
<Hunter	stars in this summer	the shows on TV>
<Holly	stars in this summer	the shows on TV>
<In	Is	pre - marital sex legal in Saudi Arabia>
<is illegal	Is	pre - marital sex legal in Saudi Arabia>
<the siege	How long was	three-day>
<Americans	much saving out of every dollar	five percent>
<allegations made by the Brazilian that he	the claim between	Renault and Nelson Piquet>
<planned the crash of teammate	the claim between	Renault and Nelson Piquet>
<Sawsan Salameh	faced before attending Israeli School	many obstacles>
<Ten	killed	many where killed>
<Jordan Belfi	played	Ari Gold 's nemesis>
<What	has become the #	a way in which to emphasize certain ideas>
<Gen. Freddy Padilla,	did the Ecuadorian judge issue	an arrest warrant for>
<you don't have to kill your neighbors,"	is	the lesson>
<of	maintaining	Do people of other faiths conscious of maintaining their own religious identities>
<Aristotle 's advice	Is still relevant	said a lot of the>
<unidentified man,	is that	roadside bombs>
<Carl Herrman,	designed	the stamps>
<Kim Jong Nam	tells he has no interest in leading North Korea	TV Asahi>
<he	where did appear thursday	U.S. District Court>
<"Tropic Thunder"	pushes	boundaries at every opportunity>
<Fred Latham,	said you can never prepare for	an incident like the one in Kileen , Texas>
<Sheikh Ahmed	the executive of where	Abu Dhabi Investment Fund>
<White demonstrators	waved a flag with	a Nazi swastika>
<Printemps	an example of	department>
<Gregory Brent Warr,	is	the mayor>
<movie	earned $ 12.5 million in the third week	"G.I. Joe">
<Beckham	position play	midfielder>
<Who	has called the Honduras situation alarming	Susan Lee,>
<258-5	the score for	New Zealand>
<the critics	say	attaching the latest measures to the spending bill was the wrong way to>
<Thailand,	is	the location of Bout 's jail>
<is president & CEO of BASIC Diversity, Inc.,	is	Al Vivian>
<the father	When did get sick	"It wasn't long after my>
<the father	When did get sick	married her that he started being sick,">
<Benjamin Button	many Oscar nominations get	13 nods>
<United States, Australia, Canada, France, Germany,	is	iphone avaliable>
<15th-century	was	century the home>
<McCanns	named	is as official suspects>
<she	reveal her pregnancy	August>
<Quebec	the only fortified city north of	Mexico>
<The National Transportation Safety Board	investigating	is the US Airways flight>
<Peter and Penelope Duff	died in on February 27	Zurich>
<aggravated child molestation,	is	his charge>
<discrimination against gays	does	does South Africa 's constitution>
<December	marks what anniversary	60th>
<December	marks what anniversary	of the U.N.'s Genocide Convention,>
<Oliver Stone	produced	the movie>
<the Sudanese President	Where has arrived	Qatar>
<$10 billion	the price of	the Large Hadron Collider>
<the facilities located	Where are	Baytown>
<many children	died in the blast	59>
<many troops	take part in effort to attack Taliban	15,000>
<the storm	When did originally begin	Saturday>
<people	handle	Bupa able to handle patient 's with Parkinson 's>
<conditions such as	handle	Bupa able to handle patient 's with Parkinson 's>
<business manager	How many hours must rapper and finish	50>
<ancestry for the first time	do	did the Californian to Islam do in al Qaeda video>
<his Jewish	do	did the Californian to Islam do in al Qaeda video>
<the floodwaters	come from	the north of Thailand>
<Raymond Davis	What was charged with	killing two men in Pakistan>
<Red & Black Cafe in Broad Street Books, the campus bookstore,	was	the shooting>
<Bolton Wanderers	beat	Queens Park Rangers>
<Hayes	is in	a coma>
<Hubble Space	revamped	telescope was>
<Robert Park,	the name of	the missing missionary>
<the Bush	revived	was Obama>
<many rickshaws	ply the roads of Indian capital	More than 40,000>
<Michael Jackson	offered	was sanctuary in Bahrain>
<Four other people	wounded	many were>
<percentage of people	decided on their vote	almost half>
<the greatest Japanese dancer	is	Tetsuya Kumakawa>
<Colin Farrell,	stars in	the movie>
<What festival	were the passengers traveling to	Muslim>
<robberies, homicides, petty thefts and carjackings	growing	crimes are>
<Michael Camacho,	injured	was>
<The Corolla	been	has a stalwart for 40 years>
<Delta	many flights cancel	300>
<Mohsen Rezaie	led Revolutionary Guard for how many years	1981 to 1997,>
<Prince William	do	went hiking Friday with a group of homeless teenagers>
<Greg Bellchambers,	has admitted	fraud and conspiracy>
<Juventus	is back on	the top>
<Connie Culp,	fit	criteria>
<the case	When was originally dismissed	Thursday>
<the bullet	hit Matt 's body	his spinal cord>
<May Day rally	seeks path to what	citizenship>
<travel	gets more	interesting,">
<62	the number of people facing	charges>
<Who	was shot and killed	Lauren Burk,>
<Suzanne Malveaux	reflected on covering	the president>
<she is paid to be thin	say	did Sandra>
<How many school food directors	have been surveyed	130>
<How many roadside bombs	went off	three>
<Al Sadd	beat Esperance in Club World Cup With what score	2-1>
<Dutch authorities	many billions spent	1.3>
<Sullivan	accused of	meddling in the government's internal police policies,>
<religion	the Ghanaian midfielder	Muslim>
<temporary	set	type of clinics the congressman urging the government to set up>
<Martin	first name	Brodeur 's>
None
<the man	have a degree in	MBA in finance>
<Senate Republicans	called the legislation a threat to	public safety>
<What nationality	was the soldier	U.S.>
<good	health condition	his>
<Which planes	undergo inspection	U.S. Air Force 224 E-model aircraft>
<the death toll	What is	3,114>
<How many jobs	are being cut	800>
<The others the institute named are	Is	a Jordanian prince among the contenders>
<Ghazi bin Muhammad,	Is	a Jordanian prince among the contenders>
<the f-15	used for	ground support>
<Japanese balloonist Michio Kanda	is missing on to US	a flight fom japan>
<eight	killed	many females were by the gunman>
<Ghana	led 2 - 0 at	halftime>
None
<Obama administration	recognizes that may become a failed state	Yemen>
<Bangladesh	is waiting for to arrive	aid>
<38,	shot	was the age of the man dead>
<four	killed	many people were in the attacks>
<5 feet, 6 inches	height	the girl 's>
<the khyber agency	what is	one of seven districts in Pakistan's volatile tribal region,>
<Tiger Woods	was in after a car crash	the spotlight>
<likely	apologize	will he>
<police	take the woman and 6 children	protective custody>
<The NTSB	investigating	is>
<in Washington for emergency funds	did	the officials in Ohio approach prevention of job loss>
<Bluewater	the name of	the production>
<campaign ads promoting	What are	condom use>
<Elizabeth Alexander	will be fourth poet to read at	an inauguration>
<the Thai soldiers accused of crossing into	Where are	Cambodian territory>
<Scott Altman	worked alongside	Tom Cruise>
<Who	are Cooper and Smith	NFL free agent Corey>
<movies	know	are a buzz for you to know about>
<the potential observer	say	"Our mission will be to portray the truth about the nature of the injuries (and) numbers of casualties and assess the hospitals, to see>
<the potential observer	say	they need and how well-prepared they are to accommodate the injured,">
<25-kilogram (55 pounds)	the size of the bag of	rice>
<revolutionary road about	what is	a powerfully unhappy Connecticut couple,>
<the curator	What say about video game art	"There actually is no line at all between the video-game artist and the fine-art world,">
<his mom	illness have	Alzheimer's,>
<President Obama	spoke	in Pennsylvania>
<[aka 50 Cent],	mediate	Jackson to mediate between who>
<city authorities	say they need to cut numbers	Maastricht>
<Ray Gravell	was at his death	56,>
<Fidesz	won   263 of	the 386 seats in parliament>
<mission control	said	"Welcome home Discovery,">
<the pilot 's plane	In which river was ditched	Hudson>
<Winehouse	suffered a string of	health problems>
<someone	discover the treasures	Doha at the Museum of Islamic Art>
<Toyota's	is	brand the Scion>
<Sarah Jessica Parker	said has been a dream	Sex and the City>
<Pitt	gave	a candid interview>
<the boy	Where was found	near a laundromat in Baltimore, Maryland,>
<the proceeds	help	sexual abuse victims>
<Which country	the biggest exporter	Brazil,>
<protesters	urge UK lawmakers	act>
<the CNN story	when was revealed	investigation>
<the CNN story	when was revealed	last week>
<the Taliban spokesman	say	the>
<many events	does the Indian space group list	60>
<groups	causing the violence in the North West Frontier Province	Taliban militants>
<two	killed	many where killed in the attack>
<the pilot	do	dump fuel and make an emergency landing>
<ie Wyelse	What show talking about	"True Blood">
<In February,	sentenced	was he>
<Tripplehorn,	knows how preachy and awkward get	the movies>
<Whitney Houston	held listening party	seven-year>
<28,	age	Gypsy Lawson 's>
<What controversial project	was approved	Israeli housing>
<country	says suspects confessed	China's>
<The Argentine government	blames farmers for	the blaze>
<caned	Kartika 's punishment for drinking in	public>
<government troops and rebels battling for	What are	remaining>
<Dr. George Tiller,	ran	a women 's clinic>
<the close Ohio vote	In what year was	2004,>
<Omar	first name	Bin 's>
<james	what age is atwater	22-year-old>
<heavy snow,	closed	closed in mountain areas>
<Turning Point for Women and Families,	helps	domestic violance victims>
<Udinese	did Arsenal defeat in	the league qualifier>
<Amy	type of cancer have	breast>
<Jorge Torres-Puello,	gave   legal advice to	missionaries in quake case>
<stick-shift	did	kind of car did the woman in Georgia>
<Rocky's	remember	Whose name are they to remember>
<met	happened	with obama>
<Emmanuel Adebayor	scored two goals against	Aston Villa>
<they	found Michael Scott	Chicago River>
<Zetas	the name of	the cartel>
<September 30,	hospitalized	was he>
<tales of tragedy and survival	share	do survivors>
<they	were from	England>
<the New Delhi - appointed governor	is	N. N. Vohra,>
<bin Laden	authenticated	could not be in the video>
<$100 million per seat,	does	much does space travel>
<many people	died in this incident	two teens>
<Chevrolet, Buick, Oldsmobile	makes of are included	car>
<Pontiac	makes of are included	car>
<"Islamic economists	believe	Islamic finance principles>
<Saudi sources	say pardon unrelated to nor subsequent Eid al - Adha	Hajj>
<the program air	When does	Monday nights at 10 p.m. ET>
<More than 150	evacuated	is the number of passengers>
<her new lawyer	missed	the hearing>
<minors	discharged	kind of people in the discharged group>
<Muslim-majority region,	withdrawn	will the troops withdrawn from>
<Deborah Ross,	shot	was inside one of the toll booths>
<Alberto Paloschi	is moving from to Parma	Milan>
<Philippe Senderos	is	in talks>
<the opperation	How long was	three-hour operation>
<police	What say about MetaBank	14 of the suspects used credit cards issued by>
<N95	the type of	respirator>
<16	the amount of months that Richard spent in	mental institutions>
<$500 million,	estimated	was Jacksons debt at the time of his death>
<crisis	changed the financial landscape	credit>
<crisis	changed the financial landscape	The>
<Lincoln's	reported	Which President 's death was first by Rueters>
<Which airline	lighting that subtly shifts throughout the day	Virgin America>
<the Nigerian spokesman	What say about the attack	the>
<he	kind of music play	classical>
<Dean	appealed	the 10 year sentence>
<their separation,	announced	Gosselins>
<top Kenyan officials	was	was for resignation>
<100 million	watch	many people are to watch the show>
<Stephen Colbert 's guest	is	Gen. Ray Odierno,>
<Danish warship	picked	them up>
<second-degree attempted murder and conspiracy,	the original charges levied against	Purvis>
<federal government	picks up the interest on	the loans>
<Bangladesh	name of	the country>
<in a campus library,	suspended	is>
<a student	suspended	is>
<admitted to hanging a noose	suspended	is>
<four	killed	many were last month in the same county>
<NASA scientists	credited	was the quake>
<the official toll	What is	at least 26,>
<Brazil	beat Chile 3 - 0 in Johannesburg	Monday>
<six people	kidnapped	were>
<Turkey	developing	was a sound solar industry>
<Philip Markoff	pleads not guilty to slaying	woman>
<How many houses	were burned	50>
<More than 67 million	affected	many people were by weather>
<swine flu	introduced	Medical screening for virus has been>
<Thursday night	go	subway workers set to go on strike>
<Afghanistan,	send	do US offficals to send more troops>
<Chinese government restrictions	confirm	is it difficult to confirm the values>
<Who	were named best actor and best actress	Kate Winslet>
<Who	were named best actor and best actress	Mickey Rourke>
<14	captured	age   El - Gharani when he was captured in Pakistan>
<Sharapova's	beat	U.S. Open Sam Stosur>
<toolkits to learn how to side step security measures or create their own "botnet"	found	can be for sale on Web sites>
<11th	stretch	To which century do the city 's origins back to>
<America	kind of leader need	"We>
<America	kind of leader need	a president who understands the world today, the future we seek and the change we>
<March 22,	the date of	the case>
<long-term improvement of water and sanitation	is	did groups say critical>
<96	died	many supporters>
<he	What say about writers	is a>
<one officer	say	typewriters are an anachronism>
<Kathy Jo Nicholson,	grew up in	a polygamous home and community>
<tourists	does say the ETA is not targeting	Spanish officials>
<Rwandan Hutu	have blamed	congo rebels>
<Canada	complained	Which country>
<How many women	were arrested	two>
<she	news channel make the admission to	NBC>
<Philippines President Gloria Arroyo	boarding	was from boarding a plane at Manila airport>
<Former	boarding	was from boarding a plane at Manila airport>
None
<DRM	stand for	Digital rights management>
<19	arrested	many people were in the Connecticut home>
<'The Da Vinci Code,'	made	controversial book made into controversial film>
<Democrats	is to schedule	override vote>
<brother of Bernard	is	Peter Madoff>
<1.2 billion	sold	many cell sold in 2008>
<Students Day about	What is	killed in 1953 by security forces of the Western-backed Mohammad Reza Pahlavi,>
<Cee Lo Green, Adam Levine and Blake Shelton	will work alongside on the show	Aguilera>
<London's subway system	was	the ban>
<Explorers	offers the comforts of	superyachts>
<the video	Where is aired	America TV,>
<Bill Clinton	spoke in	his wife 's 2008 campaign>
<3-0	the score in	the Barca game>
<hundreds of trekkers	stranded	is>
<former U.S. peace broker	What did say	bin Laden,>
<former U.S. peace broker	What did say	Radovan>
<Nigerian musician	is	Femi Kuti>
<How many people	were killed	three>
<Tehran	was	this>
<Thousands of visitors from colder climates	flocks to	Longboat Key>
<South Africa	is in	the lead>
<the airliner	hit	turbulence>
<beer drinkers	left	glass shards>
<head-on	occurred	kind of collision>
<Leaving the country to seek experimental treatments abroad is common,	say	do experts>
<Champions	is	the league>
<THE " RAINBOW MAN "	WHERE IS NOW	serving three life sentences>
<island	a 20 minute flight from Panama City	Pearl>
<"No Strings Attached,"	coming	is before the oscars>
<British Grand Prix	win	did Alonso>
<rocket	hit	the Gaza house>
<cars	worst fuel economy auto makers	Lamborghini,>
<Sean Penn	wrote	who wrote to Castro 's brother>
<who	is going to be a democratic country	Egypt>
<the animals unable to do	What were	walk>
<Tonya Hobbs	are on before   her death	store security photo>
<tomatoes	caused	a salmonella outbreak>
<Golf	progressed since when	the Berlin Wall>
<Golf	progressed since when	fallen>
<Golf	progressed since when	20 years>
<Stiles	In what city was arrested	Henderson, Nevada,>
<the average winter temperature	what s	46 degrees Fahrenheit (7 Celsius)>
<less than $1,200 a month,	the operating budget for	Kabul hospital>
<fans	wait until	August>
<Michael Jackson's death	shared	was on the web>
<Elena Dementieva	won	the final>
<Army	served tours in	Vietnam , Afghanistan and Iraq>
<two tainted leukemia drugs	recalled	China has what>
<Josef Fritzl,	the name of	the rapist>
<"Harvey,"	the name of	the first film planned>
<the dogs	detect her scent	near the George Washington Bridge,>
<"We have to uncover any act of	tolerated	Will corruption be>
<anyone at the second house	verify that the girl arrived there	can't confirm>
<anyone at the second house	verify that the girl arrived there	she was>
<the   Aztecas street gang affiliated with	is	Juarez drug>
<Gov. Rod Blagojevich	was absent from	the trial>
<CNN 's Baghdad correspondent	is	Michael Ware>
<Which department	having staff cut	R&D>
<Obama doll,	found	was in the classroom>
<many adults in the US	have bipolar disorder	5.7 million>
<There were no immediate	the reports about	casualties>
<of	the reports about	casualties>
<stimulant meds	What are used to treat	attention deficit hyperactivity disorder>
<Iraqi	opening	To children of what country Jordan opening the doors>
<she	Who is accused of killing	Lisa Irwin,>
<injury	miss	Gerrard to miss Saturday 's game>
<At least seven Iraqis	killed	many monday>
<Fly-fishing	used	Which sport is as a metaphor for Obama 's presidency>
<How many graves	have been disturbed	300>
<How many graves	have been disturbed	had>
<How many graves	have been disturbed	hundreds of>
<How many graves	have been disturbed	dug up>
<Democratic Sen.	is	kent conrad>
<of North Dakota,	is	kent conrad>
